Gene_name_canonical,graph_localization_annotation
ARHGEF11,actin_cytoskeleton
ARHGEF12,plasma_membrane
ARHGEF16,cytosol
ARHGEF18,ER
ARHGEF2,14-3-3_scaffold
ARHGEF4,14-3-3_scaffold
ARHGEF40,unclassified
ARHGEF6,plasma_membrane
ARHGEF7,plasma_membrane
ARID1A,nucleus
ARID1B,nucleus
ARID2,nucleus
ARID3A,nucleus
ARID3B,nucleus
ARID4A,nucleus
ARID4B,nucleus
ARID5B,nucleus
ARIH1,cytosol
ARIH2,cytosol
ARK2N,cytosol
ARL1,Golgi
ARL10,mitochondrion
ARL13B,recycling_endosome
ARL14EP,unclassified
ARL15,plasma_membrane
ARL2,mitochondrion
ARL2BP,cytosol
ARL3,cytosol
ARL5B,Golgi
ARL6,cytosol
ARL6IP4,unclassified
ARL6IP5,ER
ARL6IP6,ER
ARL8A,lysosome
ARL8B,lysosome
ARMC1,mitochondrion
ARMC10,mitochondrion
ARMC5,cytosol
ARMC6,cytosol
ARMC8,cytosol
ARMC9,cytosol
ARMCX3,mitochondrion
ARMCX5,unclassified
ARMH3,Golgi
ARMT1,cytosol
ARNT,cytosol
ARPC1A,actin_cytoskeleton
ARPC1B,actin_cytoskeleton
ARPC1B,actin_cytoskeleton
ARPC2,actin_cytoskeleton
ARPC3,actin_cytoskeleton
ARPC4,actin_cytoskeleton
ARPC5,actin_cytoskeleton
ARPC5L,actin_cytoskeleton
ARPP19,unclassified
ARRB1,cytosol
ARRB2,unclassified
ARRDC1,unclassified
ARSA,lysosome
ARSB,ER
ARV1,ER
ARVCF,plasma_membrane
AS3MT,cytosol
ASAH1,lysosome
ASAP1,plasma_membrane
ASAP2,cytosol
ASAP3,unclassified
ASB3,unclassified
ASB6,cytosol
ASCC1,translation
ASCC2,translation
ASCC3,translation
ASDURF,unclassified
ASF1A,unclassified
ASF1B,cytosol
ASH1L,nucleus
ASH2L,nucleus
ASL,cytosol
ASMTL,cytosol
ASNS,cytosol
ASNSD1,cytosol
ASPH,ER
ASPM,nucleolus
ASPSCR1,cytosol
ASRGL1,cytosol
ASS1,cytosol
ASTE1,nucleus
ASXL1,nucleus
ASXL2,nucleus
ATAD1,mitochondrion
ATAD2,nucleus
ATAD2B,nucleus
ATAD3A,mitochondrion
ATAD3B,mitochondrion
ATAD5,nucleus
ATAT1,nucleus
ATE1,cytosol
ATF1,nucleus
ATF2,nucleus
ATF3,nucleus
ATF6,ER
ATF6B,ER
ATF7,nucleus
ATF7IP,actin_cytoskeleton
ATG101,cytosol
ATG12,cytosol
ATG13,cytosol
ATG16L1,cytosol
ATG2A,cytosol
ATG2B,early_endosome
ATG3,cytosol
ATG4A,cytosol
ATG4B,cytosol
ATG4C,cytosol
ATG5,cytosol
ATG7,cytosol
ATG9A,trans-Golgi
ATIC,cytosol
ATIC,cytosol
ATL1,ER
ATL2,ER
ATL3,ER
ATM,nucleus
ATOX1,cytosol
ATP11A,recycling_endosome
ATP11B,recycling_endosome
ATP11C,plasma_membrane
ATP13A1,ER
ATP13A2,lysosome
ATP13A3,recycling_endosome
ATP1A1,plasma_membrane
ATP1A2,actin_cytoskeleton
ATP1A3,plasma_membrane
ATP1A4,plasma_membrane
ATP1B1,plasma_membrane
ATP1B3,plasma_membrane
ATP23,nucleus
ATP2A2,ER
ATP2B1,plasma_membrane
ATP2B4,plasma_membrane
ATP2C1,Golgi
ATP5F1A,mitochondrion
ATP5F1B,mitochondrion
ATP5F1C,mitochondrion
ATP5F1C,mitochondrion
ATP5F1D,mitochondrion
ATP5F1E,mitochondrion
ATP5IF1,mitochondrion
ATP5ME,mitochondrion
ATP5MF,mitochondrion
ATP5MG,mitochondrion
ATP5MK,mitochondrion
ATP5PB,mitochondrion
ATP5PD,mitochondrion
ATP5PF,mitochondrion
ATP5PO,mitochondrion
ATP6AP1,ER
ATP6AP2,ER
ATP6V0A1,recycling_endosome
ATP6V0A2,trans-Golgi
ATP6V0D1,recycling_endosome
ATP6V0D2,early_endosome
ATP6V1A,early_endosome
ATP6V1B2,early_endosome
ATP6V1C1,early_endosome
ATP6V1D,early_endosome
ATP6V1E1,early_endosome
ATP6V1F,early_endosome
ATP6V1G1,early_endosome
ATP6V1H,early_endosome
ATP7A,trans-Golgi
ATP7B,trans-Golgi
ATP8A1,trans-Golgi
ATP8B2,recycling_endosome
ATP9A,recycling_endosome
ATP9B,trans-Golgi
ATPAF1,mitochondrion
ATPAF2,mitochondrion
ATR,nucleus
ATRN,early_endosome
ATRX,nucleus
ATRX,nucleus
ATXN10,cytosol
ATXN2,stress_granule
ATXN2L,stress_granule
ATXN2L,stress_granule
ATXN3,cytosol
ATXN7,nucleus
ATXN7L2,nucleus
ATXN7L3,nucleus
ATXN7L3B,cytosol
AUH,mitochondrion
AUP1,ER
AURKA,nucleus
AURKB,nucleus
AURKB,nucleus
AUTS2,cytosol
AVEN,stress_granule
AVL9,early_endosome
AXIN1,actin_cytoskeleton
AZI2,cytosol
B1,cytosol
B2M,plasma_membrane
B2R7R4[p];A8K973[p],plasma_membrane
B2R8G6[p],ER
B2RAV0[p],nucleus
B2RDE8[p],unclassified
B2RDK5[p],unclassified
B3GALT6,Golgi
B3GAT3,Golgi
B3GLCT,ER
B3KM43[p],cytosol
B3KMG8[p],nucleus
B3KMU8[p];B3KM26[p],unclassified
B3KMW0[p],Golgi
B3KNF9[p],plasma_membrane
B3KPF1[p];A8K332[p],cytosol
B3KQX0[p],nucleus
B3KRJ9[p],nucleus
B3KT81[p],mitochondrion
B3KXG0[p],plasma_membrane
B3KXX7[p],cytosol
B3KY22[p],cytosol
B4DDB3[p];B3KVX5[p],cytosol
B4DDB5[p],unclassified
B4DDQ8[p],cytosol
B4DDR3[p],unclassified
B4DET1[p],unclassified
B4DF11[p],plasma_membrane
B4DGC1[p],ER
B4DH47[p];Q59FZ8[p];B7ZB56[p],cytosol
B4DH52[p],nucleus
B4DI68[p],ER
B4DID9[p],actin_cytoskeleton
B4DKH5[p];B4DS79[p],early_endosome
B4DL07[p],peroxisome
B4DL98[p],Golgi
B4DLC0[p],translation
B4DLE6[p],cytosol
B4DLF8[p],nucleus
B4DM08[p],mitochondrion
B4DMA3[p],cytosol
B4DMS5[p],nucleus
B4DN17[p],stress_granule
B4DN80[p],nucleus
B4DNX8[p],nucleus
B4DP23[p],unclassified
B4DPV7[p],unclassified
B4DSQ5[p],ERGIC
B4DTF3[p],cytosol
B4DVX3[p];B4DVM9[p],nucleus
B4DX43[p];B3KNN9[p],plasma_membrane
B4DYZ1[p],nucleus
B4DZC9[p],cytosol
B4DZH7[p],unclassified
B4DZN6[p],cytosol
B4E106[p],plasma_membrane
B4E1Q1[p],cytosol
B4E2A2[p],unclassified
B4E2V3[p],plasma_membrane
B4GALT1,Golgi
B4GALT3,Golgi
B4GALT5,Golgi
B4GALT7,Golgi
B4GAT1,Golgi
B7Z2X4[p];B7Z992[p],unclassified
B7Z3A3[p],actin_cytoskeleton
B7Z3S5[p];Q59FT7[p];B7Z9N9[p],early_endosome
B7Z481[p],cytosol
B7Z5M1[p],unclassified
B7Z6D1[p],nucleus
B7Z6J9[p],ER
B9D2,nucleus
BABAM1,unclassified
BABAM2,unclassified
BACH1,unclassified
BAD,14-3-3_scaffold
BAG1,proteasome
BAG2,unclassified
BAG3,cytosol
BAG4,cytosol
BAG5,unclassified
BAG6,early_endosome
BAHD1,nucleus
BAIAP2,actin_cytoskeleton
BAIAP2L1,plasma_membrane
BAK1,mitochondrion
BANF1,ER
BANP,nucleus
BAP1,nucleus
BAP18,nucleus
BARD1,nucleus
BARGIN,cytosol
BASP1,plasma_membrane
BAX,mitochondrion
BAZ1A,nucleus
BAZ1B,nucleus
BAZ2A,nucleus
BAZ2B,nucleus
BAZ2B,nucleus
BBC3,mitochondrion
BBLN,cytosol
BBS1,cytosol
BBS2,unclassified
BBS4,centrosome
BBS7,cytosol
BBX,nucleus
BBX,nucleus
BCAM,plasma_membrane
BCAP29,ER
BCAP31,ER
BCAR1,unclassified
BCAS2,nucleus
BCAS3,cytosol
BCAT1,cytosol
BCAT2,mitochondrion
BCCIP,unclassified
BCDIN3D,cytosol
BCKDHA,mitochondrion
BCKDHB,mitochondrion
BCKDK,mitochondrion
BCL10,cytosol
BCL11A,nucleus
BCL2L1,mitochondrion
BCL2L12,plasma_membrane
BCL2L13,mitochondrion
BCL2L2-PABPN1,nucleus
BCL7A,actin_cytoskeleton
BCL7B,nucleus
BCL7C,nucleus
BCL9,cytosol
BCL9L,unclassified
BCLAF1,nucleus
BCLAF1,nucleus
BCOR,nucleus
BCORL1,nucleus
BCORL1,nucleus
BCR,cytosol
BCR/ABL fusion,cytosol
BCS1L,mitochondrion
BDH1,mitochondrion
BDH2,cytosol
BDP1,nucleus
BECN1,early_endosome
BEND3,nucleus
BET1,ERGIC
BET1L,Golgi
BICD1,recycling_endosome
BICD2,plasma_membrane
BICRA,nucleus
BICRAL,nucleus
BID,cytosol
BIN1,plasma_membrane
BIN3,cytosol
BIRC2,cytosol
BIRC5,nucleus
BIRC6,cytosol
BLM,nucleolus
BLMH,cytosol
BLOC1S1,lysosome
BLOC1S2,lysosome
BLOC1S3,early_endosome
BLOC1S4,early_endosome
BLOC1S5,trans-Golgi
BLOC1S6,early_endosome
BLTP2,ER
BLTP3A,early_endosome
BLTP3B,early_endosome
BLVRA,cytosol
BLVRB,cytosol
BLZF1,Golgi
BMP2K,plasma_membrane
BMPR1A,plasma_membrane
BMS1,nucleolus
BNIP1,ER
BNIP2,cytosol
BNIP3,ER
BNIP3L,mitochondrion
BOD1,cytosol
BOD1L1,nucleus
BOLA1,cytosol
BOLA2; BOLA2B,cytosol
BOLA3,mitochondrion
BOP1,nucleolus
BORA,cytosol
BORCS5,lysosome
BORCS6,lysosome
BORCS7,lysosome
BORCS8,lysosome
BPGM,cytosol
BPHL,mitochondrion
BPNT1,cytosol
BPNT1,cytosol
BPNT2,Golgi
BPTF,nucleus
BPTF,nucleus
BRAF,cytosol
BRAF,cytosol
BRAF,cytosol
BRAP,unclassified
BRAT1,cytosol
BRCA1,nucleus
BRCA2,early_endosome
BRCC3,cytosol
BRCC3,cytosol
BRD1,nucleus
BRD1,nucleus
BRD2,nucleus
BRD3,nucleus
BRD4,nucleus
BRD7,unclassified
BRD8,nucleus
BRD9,nucleus
BRF1,cytosol
BRI3,lysosome
BRI3BP,ER
BRIP1,cytosol
BRIX1,nucleolus
BRK1,actin_cytoskeleton
BRME1,cytosol
BRMS1,nucleus
BRMS1L,nucleus
BROX,cytosol
BRPF1,nucleus
BRPF3,nucleus
BRSK2,cytosol
BRWD1,nucleus
BSDC1,Golgi
BSG,plasma_membrane
BTAF1,nucleus
BTBD1,unclassified
BTBD2,Golgi
BTBD9,plasma_membrane
BTD,ER
BTF3,stress_granule
BTF3L4,stress_granule
BTN2A1,plasma_membrane
BUB1,unclassified
BUB1B,unclassified
BUB3,unclassified
BUD13,translation
BUD23,unclassified
BUD31,nucleus
BYSL,nucleus
BZW1,stress_granule
BZW2,stress_granule
C11orf54,cytosol
C11orf68,cytosol
C12orf4,early_endosome
C12orf57,cytosol
C15orf38-AP3S2,early_endosome
C15orf39,unclassified
C15orf40,unclassified
C16orf87,nucleus
C17orf75,trans-Golgi
C17orf80,mitochondrion
C18orf21,nucleolus
C18orf32,ER
C19orf25,ER
C19orf44,unclassified
C19orf47,nucleus
C19orf53,nucleolus
C1GALT1,Golgi
C1GALT1C1,ER
C1orf122,stress_granule
C1orf131,nucleolus
C1orf159,early_endosome
C1orf174,nucleus
C1orf198,actin_cytoskeleton
C1orf21,plasma_membrane
C1orf226,plasma_membrane
C1orf43,ER
C1orf50,cytosol
C1orf52,cytosol
C1QBP,mitochondrion
C2CD2L,ER
C2CD3,centrosome
C2CD5,plasma_membrane
C2orf49,nucleus
C2orf69,cytosol
C2orf72,nucleus
C2orf76,cytosol
C3orf33,mitochondrion
C3orf38,nucleus
C4orf3,ER
C4orf46,cytosol
C5,cytosol
C5orf22,cytosol
C5orf24,nucleus
C6orf120,ER
C6orf47,ER
C6orf89,ER
C7orf25,cytosol
C7orf50,translation
C8orf33,nucleus
C8orf82,mitochondrion
C9orf40,cytosol
C9orf72,lysosome
C9orf78,unclassified
C9orf85,cytosol
CA13,cytosol
CA2,cytosol
CA8,cytosol
CAAP1,nucleus
CAB39,actin_cytoskeleton
CABIN1,nucleus
CABLES2,plasma_membrane
CACHD1,plasma_membrane
CACNA2D1,plasma_membrane
CACNA2D2,plasma_membrane
CACNB2,nucleus
CACNB3,unclassified
CACTIN,nucleus
CACUL1,unclassified
CACYBP,cytosol
CAD,cytosol
CADM1,plasma_membrane
CADM4,plasma_membrane
CADPS2,cytosol
CALCOCO1,cytosol
CALCOCO2,lysosome
CALD1,actin_cytoskeleton
CALM3,unclassified
CALML3,unclassified
CALR,ER
CALU,ER
CALU,ER
CAMK1,cytosol
CAMK1D,cytosol
CAMK2D,actin_cytoskeleton
CAMK2G,plasma_membrane
CAMK4,unclassified
CAMKK1,cytosol
CAMKK2,cytosol
CAMKMT,cytosol
CAMKV,plasma_membrane
CAMLG,ER
CAMSAP1,nucleus
CAMSAP2,14-3-3_scaffold
CAMSAP3,14-3-3_scaffold
CAND1,cytosol
CAND2,cytosol
CANT1,Golgi
CANX,ER
CAP1,actin_cytoskeleton
CAP1,actin_cytoskeleton
CAP2,actin_cytoskeleton
CAPG,cytosol
CAPN1,cytosol
CAPN14,nucleus
CAPN15,cytosol
CAPN5,plasma_membrane
CAPN7,cytosol
CAPNS1,cytosol
CAPRIN1,stress_granule
CAPZA1,actin_cytoskeleton
CAPZA2,actin_cytoskeleton
CAPZB,actin_cytoskeleton
CARD8,cytosol
CARHSP1,cytosol
CARM1,cytosol
CARMIL1,plasma_membrane
CARMIL2,14-3-3_scaffold
CARNMT1,cytosol
CARS1,cytosol
CARS2,mitochondrion
CASC3,stress_granule
CASK,plasma_membrane
CASKIN1,nucleus
CASKIN2,plasma_membrane
CASP10,cytosol
CASP2,cytosol
CASP3,cytosol
CASP6,cytosol
CASP7,cytosol
CASP8,cytosol
CASP8AP2,nucleus
CASP9,cytosol
CAST,cytosol
CASTOR2,cytosol
CASZ1,nucleus
CAT,peroxisome
CAV1,plasma_membrane
CAVIN1,plasma_membrane
CBF2,nucleus
CBFB,cytosol
CBL,cytosol
CBLL1,unclassified
CBR1,mitochondrion
CBR4,mitochondrion
CBS,cytosol
CBX1,nucleus
CBX2,nucleus
CBX3,nucleus
CBX4,nucleus
CBX5,nucleus
CBX6,unclassified
CBX8,nucleus
CBY1,actin_cytoskeleton
CC2D1A,unclassified
CC2D1A,unclassified
CC2D1B,cytosol
CC2D1B,cytosol
CC2D2A,nucleus
CCAR1,nucleus
CCAR2,nucleus
CCDC102A,cytosol
CCDC106,nucleus
CCDC115,ER
CCDC117,cytosol
CCDC12,nucleus
CCDC124,unclassified
CCDC127,mitochondrion
CCDC134,ER
CCDC137,nucleus
CCDC138,centrosome
CCDC14,centrosome
CCDC167,ER
CCDC174,unclassified
CCDC186,unclassified
CCDC22,early_endosome
CCDC25,unclassified
CCDC28A,nucleus
CCDC28B,unclassified
CCDC32,cytosol
CCDC43,unclassified
CCDC47,ER
CCDC50,actin_cytoskeleton
CCDC51,mitochondrion
CCDC59,nucleus
CCDC6,cytosol
CCDC61,centrosome
CCDC66,translation
CCDC7,nucleus
CCDC71,nucleus
CCDC77,centrosome
CCDC8,plasma_membrane
CCDC82,cytosol
CCDC85B,unclassified
CCDC85C,plasma_membrane
CCDC86,nucleolus
CCDC88A,ER
CCDC88C,unclassified
CCDC9,stress_granule
CCDC90B,mitochondrion
CCDC91,cytosol
CCDC93,early_endosome
CCDC97,nucleolus
CCHCR1,unclassified
CCM2,plasma_membrane
CCN1,unclassified
CCNA2,unclassified
CCNB1,ER
CCNB2,ER
CCNDBP1,unclassified
CCNH,nucleus
CCNJ,unclassified
CCNK,nucleolus
CCNL1,cytosol
CCNL2,cytosol
CCNQ,nucleus
CCNT1,nucleus
CCNT2,nucleus
CCNY,recycling_endosome
CCNYL1,plasma_membrane
CCP110,centrosome
CCS,cytosol
CCSAP,nucleus
CCT2,actin_cytoskeleton
CCT3,actin_cytoskeleton
CCT4,actin_cytoskeleton
CCT5,actin_cytoskeleton
CCT6A,actin_cytoskeleton
CCT7,actin_cytoskeleton
CCT8,actin_cytoskeleton
CCZ1B,lysosome
CD101,unclassified
CD109,plasma_membrane
CD151,plasma_membrane
CD276,plasma_membrane
CD2AP,actin_cytoskeleton
CD2BP2,nucleus
CD302,recycling_endosome
CD320,ER
CD40,plasma_membrane
CD46,plasma_membrane
CD46,plasma_membrane
CD47,plasma_membrane
CD55,unclassified
CD55,unclassified
CD58,plasma_membrane
CD59,unclassified
CD63,plasma_membrane
CD81,plasma_membrane
CD9,plasma_membrane
CD99,plasma_membrane
CD99,plasma_membrane
CD99L2,plasma_membrane
CDAN1,unclassified
CDC123,unclassified
CDC16,nucleus
CDC20,nucleus
CDC23,nucleus
CDC25B,14-3-3_scaffold
CDC25C,14-3-3_scaffold
CDC26,unclassified
